,topics,reflection
1032,"[3, 11]",a8 x 4 tyres  superb service and process  was wary of tyres from one place and fitting from another but worked just fineusually a kwik fit user but they had a limited choice of tyres whereas  had good choice and good prices 
1033,"[4, 6]",purchased 4 tyres  car returned in perfect condition  no hesitation in recommending this garage 
1034,"[2, 7]",very competative pricing  a local garage to fit
1035,[4],the centre which was supposed to fit my tyres failed to do so  they gave two reasons  one to do with the difference in tread between the new tyres and the existing ones and they also claimed that they tyres supplied may have been for a bmw x5 rather than a bmw x3 - they would have to check 'the dots' but didn't do so  they claim there is an issue with the  website so that customers with x5s or x3s regularly order the wrong tyres   …… 
1036,[9],the fitting centre didn't fit the tyres - i felt i was fobbed off with excuses  i contacted customer services who were initially helpful but after the first contact haven't given me an update and haven't responded to my follow up e-mails requesting an update
1037,[11],easiest way to purchase tyres dontbargains  easiest way to purchase tyres don't have to shop about 
1038,[2],great price and service  i have used  before as they are very competitive and efficient  their website is easy to use and entering your reg no ensures you are presented with the correct tyres  i was able to select a local ats garage and the appointment was for 2 days ahead  buying 2 tyres also gave me a small discount  i'm happy to recommend 
1039,[4],my issue is with your agent who damaged refurbished alloys but refused to accept responsibility despite us providing photo evidence that the wheels were unmarked when the car went in to them  this is not the first time mercia motors have damaged the wheels but will be the last as i will not use them again 
1040,[11],second time i've used   so convenient  no waiting at garages for a slot  just book and turn up  and the tyres i and my son have bought have been better quality and cheaper than going to a high street tyre dealer  5 star rating from us 
1041,[9],i had 4 pre arranged bookings cancelled and nothing by way of an apology from  
1042,"[4, 9]",ordered 2 new tyres  given a date for fitting then message saying they had not been delivered  got a new date and guy turned up to fit them  wrong size of tyre  given new date again and was cancelled the night before the fitting via email  the next day a message from the fitter saying he was there to fit the tyres  good job from the fitter but poor getting them fitted  given £21 back because the tyres which i had been charged for were more expensive than the actual ones which should have been delivered  still waiting for the refund after 7 days
